symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2640722150PE,,2026-04-06,NSE,FO,,sell,false,65.000000,63.050000,669203,1200000019200208,2026-04-06T09:33:20,2026-04-07
NIFTY2640723150CE,,2026-04-06,NSE,FO,,sell,false,65.000000,50.400000,691772,1100000019499179,2026-04-06T09:33:39,2026-04-07
NIFTY2640722150PE,,2026-04-07,NSE,FO,,buy,false,65.000000,1.500000,2874557,1200000048170483,2026-04-07T09:54:17,2026-04-07
NIFTY2640722550PE,,2026-04-07,NSE,FO,,sell,false,65.000000,14.500000,2761588,1300000048903528,2026-04-07T09:54:50,2026-04-07
NIFTY2640723150CE,,2026-04-07,NSE,FO,,buy,false,65.000000,25.300000,4287297,1100000068591564,2026-04-07T10:17:02,2026-04-07
NIFTY2640723200CE,,2026-04-07,NSE,FO,,sell,false,65.000000,13.600000,4979902,1200000094908645,2026-04-07T10:46:27,2026-04-07
NIFTY2640722650PE,,2026-04-07,NSE,FO,,sell,false,65.000000,9.850000,6718898,1500000131524283,2026-04-07T11:25:06,2026-04-07
NIFTY2640722550PE,,2026-04-07,NSE,FO,,buy,false,65.000000,4.550000,7768635,1300000141139041,2026-04-07T11:25:10,2026-04-07
NIFTY2641323250PE,,2026-04-10,NSE,FO,,sell,false,65.000000,17.600000,230636,1300000004181334,2026-04-10T09:18:56,2026-04-13
NIFTY2641324550CE,,2026-04-10,NSE,FO,,sell,false,65.000000,12.600000,237819,1100000004056816,2026-04-10T09:18:56,2026-04-13
NIFTY2641323250PE,,2026-04-10,NSE,FO,,buy,false,65.000000,17.400000,236747,1300000004310058,2026-04-10T09:19:04,2026-04-13
NIFTY2641324550CE,,2026-04-10,NSE,FO,,buy,false,65.000000,12.800000,243085,1100000004193967,2026-04-10T09:19:04,2026-04-13
NIFTY2641324400CE,,2026-04-10,NSE,FO,,sell,false,65.000000,23.300000,575509,1500000020125164,2026-04-10T09:37:27,2026-04-13
NIFTY2641323350PE,,2026-04-10,NSE,FO,,sell,false,65.000000,21.700000,607454,1500000022354140,2026-04-10T09:40:44,2026-04-13
NIFTY2642123600PE,,2026-04-15,NSE,FO,,sell,false,65.000000,54.300000,283703,1300000008680254,2026-04-15T09:25:15,2026-04-21
NIFTY2642124750CE,,2026-04-15,NSE,FO,,sell,false,65.000000,43.200000,240340,1500000008812739,2026-04-15T09:25:45,2026-04-21
NIFTY2642124650CE,,2026-04-15,NSE,FO,,sell,false,65.000000,62.200000,393255,1300000014005246,2026-04-15T09:33:05,2026-04-21
NIFTY2642123600PE,,2026-04-16,NSE,FO,,buy,false,65.000000,23.650000,303860,1300000008420675,2026-04-16T09:27:55,2026-04-21
NIFTY2642123750PE,,2026-04-16,NSE,FO,,sell,false,65.000000,35.800000,214682,1600000008023632,2026-04-16T09:28:02,2026-04-21
OFSS26APR6900CE,,2026-04-16,NSE,FO,,buy,false,75.000000,784.000000,74206,2500000014231911,2026-04-16T09:32:28,2026-04-28
HAL26MAY4700CE,,2026-04-16,NSE,FO,,sell,false,150.000000,58.950000,185544,1900000036424859,2026-04-16T09:46:23,2026-05-26
NIFTY2642123700PE,,2026-04-17,NSE,FO,,sell,false,65.000000,34.350000,694741,1500000033544784,2026-04-17T09:57:51,2026-04-21
OFSS26APR7500PE,,2026-04-17,NSE,FO,,sell,false,75.000000,63.900000,229276,2500000052346208,2026-04-17T10:11:46,2026-04-28
NIFTY2642123750PE,,2026-04-20,NSE,FO,,buy,false,65.000000,12.850000,459154,1600000011717798,2026-04-20T09:24:25,2026-04-21
NIFTY2642124650CE,,2026-04-20,NSE,FO,,buy,false,65.000000,37.350000,700632,1300000012692795,2026-04-20T09:24:25,2026-04-21
OFSS26APR7500PE,,2026-04-20,NSE,FO,,buy,false,75.000000,40.350000,63555,2500000011636466,2026-04-20T09:25:13,2026-04-28
NIFTY2642124200PE,,2026-04-21,NSE,FO,,sell,false,65.000000,7.150000,1142703,1100000025578529,2026-04-21T09:40:56,2026-04-21
NIFTY2642124650CE,,2026-04-21,NSE,FO,,sell,false,65.000000,7.750000,1188336,1300000026723011,2026-04-21T09:41:09,2026-04-21
NIFTY2642123700PE,,2026-04-21,NSE,FO,,buy,false,65.000000,0.950000,1971791,1500000028366081,2026-04-21T09:42:24,2026-04-21
NIFTY2642124750CE,,2026-04-21,NSE,FO,,buy,false,65.000000,2.550000,1974947,1500000028463348,2026-04-21T09:42:32,2026-04-21
NIFTY2642124300PE,,2026-04-21,NSE,FO,,sell,false,65.000000,7.350000,1988760,1300000051781385,2026-04-21T10:14:17,2026-04-21
NIFTY2642124650CE,,2026-04-21,NSE,FO,,sell,false,65.000000,9.650000,2063617,1300000055207269,2026-04-21T10:20:02,2026-04-21
NIFTY2642124200PE,,2026-04-21,NSE,FO,,buy,false,65.000000,0.100000,20724019,1100000281845682,2026-04-21T15:20:07,2026-04-21
NIFTY2642124300PE,,2026-04-21,NSE,FO,,buy,false,65.000000,0.100000,8166585,1300000234565942,2026-04-21T15:20:08,2026-04-21
NIFTY2642124650CE,,2026-04-21,NSE,FO,,buy,false,130.000000,0.100000,8167109,1300000234572263,2026-04-21T15:20:09,2026-04-21
NIFTY2642124200PE,,2026-04-21,NSE,FO,,sell,false,65.000000,0.050000,20894759,1100000284628603,2026-04-21T15:26:18,2026-04-21
NIFTY2642124650CE,,2026-04-21,NSE,FO,,sell,false,130.000000,0.050000,8284034,1300000236329505,2026-04-21T15:29:48,2026-04-21
NIFTY26APR23800PE,,2026-04-22,NSE,FO,,sell,false,65.000000,53.900000,464735,1000000012523617,2026-04-22T09:27:52,2026-04-28
NIFTY26APR24900CE,,2026-04-22,NSE,FO,,sell,false,65.000000,60.700000,290923,1100000013707294,2026-04-22T09:31:05,2026-04-28
NIFTY26APR24900CE,,2026-04-22,NSE,FO,,sell,false,65.000000,61.500000,292215,1100000012195626,2026-04-22T09:31:13,2026-04-28
NIFTY26APR24900CE,,2026-04-23,NSE,FO,,buy,false,130.000000,21.750000,220070,1100000004703996,2026-04-23T09:19:51,2026-04-28
NIFTY26APR24750CE,,2026-04-23,NSE,FO,,sell,false,130.000000,36.300000,167837,1500000004965247,2026-04-23T09:20:17,2026-04-28
NIFTY26APR23550PE,,2026-04-23,NSE,FO,,sell,false,65.000000,38.600000,164189,1200000005041867,2026-04-23T09:20:37,2026-04-28
SENSEX26APR74000PE,,2026-04-23,BSE,FO,,sell,false,20.000000,45.950000,5378560,1776916972511449668,2026-04-23T09:34:36,2026-04-30
SENSEX26APR81000CE,,2026-04-23,BSE,FO,,sell,false,20.000000,69.350000,1915610,1776916889372133582,2026-04-23T09:36:34,2026-04-30
BEL26MAY470CE,,2026-04-23,NSE,FO,,sell,false,1425.000000,9.150000,172565,2400000028623408,2026-04-23T09:37:40,2026-05-26
BEL26APR440CE,,2026-04-23,NSE,FO,,buy,false,1425.000000,10.100000,174690,2400000028933210,2026-04-23T09:38:01,2026-04-28
NIFTY26APR24750CE,,2026-04-23,NSE,FO,,buy,false,65.000000,25.450000,1643989,1500000176239985,2026-04-23T14:49:35,2026-04-28
NIFTY26APR24750CE,,2026-04-23,NSE,FO,,buy,false,65.000000,25.500000,1643990,1500000176239985,2026-04-23T14:49:35,2026-04-28
NIFTY26APR24650CE,,2026-04-23,NSE,FO,,sell,false,130.000000,36.350000,2271500,1300000180850211,2026-04-23T14:49:44,2026-04-28
NIFTY26APR23550PE,,2026-04-23,NSE,FO,,buy,false,65.000000,28.600000,2333757,1200000184301754,2026-04-23T14:50:02,2026-04-28
